"Term","Estimate","Std.Error","t.value","p.value"
"(Intercept)",2696.77290210405,NA,NA,NA
"avg_score_Q1",11.1209318219708,2.14069860455292,5.19500120115853,2.11072272433538e-07
"avg_score_Q2",-10.5503045882469,2.52740842780704,-4.17435681236573,3.02807050250359e-05
"avg_score_Q3",-5.04155876870187,2.36035108414003,-2.13593596417827,0.032722619396397
"avg_score_Q4",-5.77883035050516,2.62393808513898,-2.20235011764734,0.0276762564115391
"avg_score_Q5",4.73788429447245,2.51633628791634,1.8828502045709,0.0597661660305343
"avg_score_Q6",4.21309085973066,2.04957198247028,2.05559545883954,0.0398621660390601
"avg_score_Q7",-29.2596808304109,2.20150777745612,-13.2907460650541,8.82977839238206e-40
"avg_score_Q8",0.487238143877698,2.46281733054266,0.197837711240379,0.843178347721887
"avg_score_Q9",-4.33860551254808,3.08164808877243,-1.40788480305561,0.159213943634206
"avg_score_Q10",12.4337124602135,2.88819156391216,4.30501654238321,1.69474363328879e-05
"avg_score_Q11",14.7063207943855,2.4310182883547,6.04944885229089,1.53582907933016e-09
"avg_score_Q12",-7.11092331640374,2.21593250314543,-3.20899815599531,0.00133857930600553
"avg_score_Q15",-4.66941114691125,2.42785228123901,-1.92326822475719,0.0544908610223441
"avg_score_Q16",2.60092380139394,2.79974386317308,0.928986338931086,0.352931339016766
"avg_score_Q17",25.4889406629623,2.66791486934913,9.55388080624199,1.73892544159822e-21
"avg_score_Q18",17.3264138115271,2.896745762084,5.98133741604646,2.33305971867893e-09
"avg_score_Q19",-22.0803273604978,2.74622669344501,-8.04024205765733,1.06041662955148e-15
"avg_score_Q20",30.2931818805407,2.58257271701063,11.7298466296839,1.88312217878547e-31
"avg_score_Q21",-0.3335594763235,2.82513658771458,-0.11806844234506,0.906017147601084
"avg_score_Q22",-9.02829751542087,2.41906621834575,-3.73214153748746,0.000191510864849918
"avg_score_Q23",-5.55869219594298,2.89964914777583,-1.9170223405155,0.0552797429311042
"avg_score_Q24",-20.4149062456294,2.45268517315231,-8.32349233774313,1.03512549536641e-16
"avg_score_Q25",32.9412204127559,2.78935711219851,11.8096102749613,7.46441763673564e-32
"avg_score_Q26",-14.7804412281616,2.54788816893428,-5.80105571679935,6.90599219138296e-09
"avg_score_Q27",0.674486328616289,2.5447791790101,0.265047094922657,0.790981751517911
"avg_score_Q28",-5.54251445470389,2.17904357850291,-2.54355374503883,0.0109965303719748
"avg_score_Q29",-14.581490355356,2.69043761480281,-5.4197466892109,6.18712894255662e-08
