"Variable","Estimate","Std. Error","t value","Pr(>|t|)"
"avg_score_Q2",-0.172383928568034,0.0280112753268947,-6.15409068513638,8.00950992790994e-10
"avg_score_Q3",-0.0911832529975981,0.0279289696223051,-3.26482696034643,0.00110109075377364
"avg_score_Q5",0.198041206016298,0.0291728549101349,6.78854389213368,1.23499394116599e-11
"avg_score_Q6",0.209819217405624,0.0239189754393127,8.77208214615958,2.22147559741017e-18
"avg_score_Q7",-0.105771226034714,0.0261298430321006,-4.04790897154544,5.22889824723512e-05
"avg_score_Q9",-0.481835225173607,0.0350425519616549,-13.7500038724592,2.04302964992488e-42
"avg_score_Q10",-0.068260097684189,0.0325407528215017,-2.09768034742839,0.0359726655259495
"avg_score_Q11",0.158013942129559,0.0290151179589668,5.44591761967064,5.3464394501292e-08
"avg_score_Q15",-0.102992677785156,0.0282983272605873,-3.63953235951864,0.000275295832592806
"avg_score_Q17",0.28146678781303,0.0296282954118823,9.49993186918708,2.90224333134625e-21
"avg_score_Q18",0.113211110083877,0.0331971965858889,3.41026115837744,0.000653034399329629
"avg_score_Q19",-0.320729384265017,0.028984267565039,-11.065637023441,3.32216465227206e-28
"avg_score_Q20",0.244562624555712,0.0274686337295332,8.9033414243959,6.96189391204883e-19
"avg_score_Q22",-0.161519185185001,0.0269336371636156,-5.99693179958612,2.12091017538444e-09
"avg_score_Q23",0.0973620230378063,0.0323150217802805,3.01290290626445,0.00259777998731127
"avg_score_Q24",-0.168870619546572,0.0280551598126525,-6.01923570117799,1.84981661555338e-09
"avg_score_Q25",0.199919113458365,0.0310046404475012,6.44803844111268,1.21609627512177e-10
"avg_score_Q26",0.219708567709343,0.0301052283686717,7.29802029796185,3.27543365323036e-13
"avg_score_Q28",-0.197050057234408,0.0257137536489849,-7.66321634423013,2.08367435158411e-14
"avg_score_Q29",-0.0834267176608197,0.0310233999025233,-2.68915457116079,0.00718196376600265
"avg_score_Q30",0.190542101331809,0.0277701320200578,6.86140423078233,7.46186800356334e-12
"X2023.Turnover",-0.108002000385818,0.0105488952686065,-10.2382285192679,2.06364352790764e-24
"MSP_sum",0.317840214221068,0.00918887231745991,34.5896866601503,1.98596079585348e-240
"workload",-0.677820683342121,0.0104770633171767,-64.6956750018743,0
"shrinkage.....of.Sales",-0.0580765482618617,0.00975921222363989,-5.95094633982669,2.80752787750867e-09
"clusterOffice - High Income (Upscale)",-2.99876846917,0.594310512929548,-5.04579408226872,4.64148628003441e-07
"clusterOffice - Local (Wellcome)",0.591877973109093,0.183064600503226,3.23316453034655,0.00123050319562786
"clusterResidential - High Income (Wellcome)",-0.0946862161428034,0.022308615060338,-4.24437894897133,2.22309331307588e-05
"clusterTourist Border(Wellcome)",1.12170110976342,0.24011962942757,4.67142612387621,3.05253581768101e-06
"clusterUrban Hub - Local (Wellcome)",0.193426646101771,0.0245392009670969,7.88235307095468,3.7522043896724e-15
"workload:scaleUpscales",-0.545207243785559,0.142350998972015,-3.83002049667907,0.000129362080043384
"workload:clusterOffice - High Income (Upscale)",-1.13205056038779,0.466736998072095,-2.42545708838991,0.0153167071051021
"workload:clusterOffice - Local (Wellcome)",1.17829223564022,0.250176671615137,4.70984056200437,2.53161756393023e-06
"workload:clusterResidential - High Income (Wellcome)",-0.0496297613803692,0.0196055261131675,-2.53141696345688,0.0113841027844625
"workload:clusterResidential - Western & Top Income (Upscale)",0.659459353640903,0.131909769345436,4.99932155831429,5.90690764346877e-07
"workload:clusterUrban Hub - High Income (Upscale)",0.622808202120608,0.149232526606202,4.17340787752049,3.0406812487007e-05
"workload:clusterUrban Hub - Local (Wellcome)",-0.430406979520595,0.027906271575296,-15.4233064907751,1.01312863123138e-52
"X2023.Turnover:scaleUpscales",0.703516493213331,0.0880631239209253,7.98877511823269,1.60512440913905e-15
"X2023.Turnover:clusterOffice - High Income (Upscale)",4.06459598995054,1.12031901446296,3.62807016347835,0.000287781525247627
"X2023.Turnover:clusterOffice - Local (Wellcome)",0.0708789265096721,0.0332345767573035,2.13268629918978,0.0329885651604057
"X2023.Turnover:clusterResidential - Western & Top Income (Upscale)",-0.188248905268986,0.0830686658226425,-2.26618428747744,0.0234734803372045
"X2023.Turnover:clusterUrban Hub - High Income (Upscale)",-0.839793828089072,0.0950116029581707,-8.83885548651142,1.23362676470681e-18
"X2023.Turnover:clusterUrban Hub - Local (Wellcome)",-0.139406279833722,0.0213913814995342,-6.51693673158777,7.72466942661024e-11
"shrinkage.....of.Sales:clusterOffice - High Income (Upscale)",3.94882119474653,0.962219154137175,4.10386883047184,4.1136594991099e-05
"shrinkage.....of.Sales:clusterOffice - Local (Wellcome)",0.196161120076982,0.0576519677834733,3.40250519832584,0.000671819310788743
"shrinkage.....of.Sales:clusterResidential - High Income (Wellcome)",0.148423157096467,0.0254091311544628,5.84133145656177,5.43387431812647e-09
"shrinkage.....of.Sales:clusterUrban Hub - Local (Wellcome)",0.282709842660413,0.030060536091403,9.4046839950158,7.12119846039604e-21
